,index,propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,parkingSpace,priceByArea,detailedType,suggestedTexts,hasPlan,has3DTour,has360,district,neighborhood,newDevelopmentFinished
360,10,88924028,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/20/7e/47/758799045.jpg,PAV00559,21,,120000.0,chalet,sale,140.0,False,3,2,Villa del Prado,Madrid,Villa del Prado,es,40.2803976,-4.2982182,False,https://www.idealista.com/inmueble/88924028/,52645,False,good,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",857.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Villa del Prado', 'title': 'Casa independiente'}",False,False,False,,,
361,11,34450454,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ea/c1/e0/710547701.jpg,60517696,15,,110000.0,chalet,sale,196.0,False,4,2,"Calle Mondéjar, 2253",Guadalajara,Torrejon del Rey,es,40.6934222,-3.3711915,True,https://www.idealista.com/inmueble/34450454/,41636,False,renew,False,,,561.0,{'typology': 'chalet'},"{'subtitle': 'Torrejon del Rey', 'title': 'Chalet en Calle Mondéjar, 2253'}",False,False,False,,,
362,12,31696121,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/ee/6f/738129648.jpg,60508396,13,,250000.0,chalet,sale,585.0,False,4,3,"Calle Valdelias, 7",Guadalajara,Cabanillas del Campo,es,40.6482873,-3.2406849,True,https://www.idealista.com/inmueble/31696121/,46809,False,,False,,,427.0,{'typology': 'chalet'},"{'subtitle': 'Cabanillas del Campo', 'title': 'Chalet en Calle Valdelias, 7'}",False,False,False,,,
363,13,87652191,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/2c/12/23/727370785.jpg,60471412,16,,170000.0,chalet,sale,207.0,False,4,3,"Calle Valle Inclán, 573",Guadalajara,El Casar,es,40.6801154,-3.4137898,True,https://www.idealista.com/inmueble/87652191/,38156,False,renew,False,,,821.0,{'typology': 'chalet'},"{'subtitle': 'El Casar', 'title': 'Chalet en Calle Valle Inclán, 573'}",False,False,False,,,
364,14,88190788,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/59/ae/eb/740950160.jpg,10060488589,8,bj,161500.0,flat,sale,92.0,False,3,1,Calle de Urgel,Madrid,Madrid,es,40.3913944,-3.7252209,False,https://www.idealista.com/inmueble/88190788/,3373,False,good,False,False,,1755.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Calle de Urgel'}",False,False,False,Carabanchel,San Isidro,
365,15,82767207,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/19/55/44/700853745.jpg,60490215,17,,120000.0,chalet,sale,140.0,False,3,2,"Calle Madrid, 278",Madrid,Villa del Prado,es,40.2791976,-4.3000182,True,https://www.idealista.com/inmueble/82767207/,52830,False,,False,,,857.0,{'typology': 'chalet'},"{'subtitle': 'Villa del Prado', 'title': 'Chalet en Calle Madrid, 278'}",False,False,False,,,
366,16,32375444,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/d0/9c/757765206.jpg,4402,12,,650000.0,chalet,sale,672.0,False,5,3,El Bosque,Madrid,Villaviciosa de Odón,es,40.3941191,-3.9317201,False,https://www.idealista.com/inmueble/32375444/,19506,False,good,False,,,967.0,{'typology': 'chalet'},"{'subtitle': 'El Bosque, Villaviciosa de Odón', 'title': 'Chalet'}",False,False,False,El Bosque,,
367,17,87998267,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/bb/5b/ed/736101648.jpg,60488589,8,bj,161500.0,flat,sale,92.0,False,3,2,"Calle de Urgel, 38",Madrid,Madrid,es,40.3930944,-3.7263209,True,https://www.idealista.com/inmueble/87998267/,3271,False,,False,False,,1755.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Calle de Urgel, 38'}",False,False,False,Carabanchel,San Isidro,
368,18,87796389,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ce/15/45/739362864.jpg,60479924,7,,136000.0,chalet,sale,213.0,False,3,3,"Calle los Espejos, 23",Guadalajara,Villanueva de la Torre,es,40.5860971,-3.3013564,True,https://www.idealista.com/inmueble/87796389/,38850,False,good,False,,,638.0,{'typology': 'chalet'},"{'subtitle': 'Villanueva de la Torre', 'title': 'Chalet en Calle los Espejos, 23'}",False,False,False,,,
369,19,87813228,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d1/24/88/731532101.jpg,60586647,6,3,83429.0,flat,sale,57.0,False,2,1,"Calle Atlético de Madrid, 6 -16",Madrid,Madrid,es,40.3758092,-3.7425436,True,https://www.idealista.com/inmueble/87813228/,5634,False,,False,,,1464.0,{'typology': 'flat'},"{'subtitle': 'Puerta Bonita, Madrid', 'title': 'Piso en Calle Atlético de Madrid, 6 -16'}",False,False,False,Carabanchel,Puerta Bonita,
370,20,88770660,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9d/40/da/754955809.jpg,60586784,9,1,158868.0,flat,sale,88.0,False,3,2,"Plaza la Regenta, 9",Madrid,Rivas-Vaciamadrid,es,40.36213,-3.55559,True,https://www.idealista.com/inmueble/88770660/,13899,False,,False,,,1805.0,{'typology': 'flat'},"{'subtitle': 'Covibar - Pablo Iglesias, Rivas-Vaciamadrid', 'title': 'Piso en Plaza la Regenta, 9'}",False,False,False,Covibar - Pablo Iglesias,,
371,21,86159834,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/a5/59/685204307.jpg,343-60508396,12,,250000.0,chalet,sale,585.0,False,4,1,Calle Valdelias,Guadalajara,Cabanillas del Campo,es,40.6487873,-3.2391849,False,https://www.idealista.com/inmueble/86159834/,46945,False,good,False,,,427.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Cabanillas del Campo', 'title': 'Casa independiente en Calle Valdelias'}",False,False,False,,,
372,22,86178453,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/c4/1f/685641509.jpg,60490096,1,bj,30600.0,flat,sale,40.0,True,1,1,"Calle Horno, 8",Guadalajara,Pioz,es,40.463034,-3.175142,True,https://www.idealista.com/inmueble/86178453/,44987,False,good,False,False,,765.0,{'typology': 'flat'},"{'subtitle': 'Pioz', 'title': 'Piso en Calle Horno, 8'}",False,False,False,,,
373,23,85697027,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/d2/58/3e/684613484.jpg,60481366,1,,150683.0,chalet,sale,258.0,False,0,0,"Calle Beato Guillermo Plaza Hernandez, 2",Toledo,Yuncos,es,40.0884453,-3.8680986,True,https://www.idealista.com/inmueble/85697027/,39087,False,renew,False,,,584.0,{'typology': 'chalet'},"{'subtitle': 'Yuncos', 'title': 'Chalet en Calle Beato Guillermo Plaza Hernandez, 2'}",False,False,False,,,
374,24,87686733,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/73/d9/44/728444523.jpg,343-60471412,16,,170000.0,chalet,sale,207.0,False,4,3,Calle Valle Inclán,Guadalajara,El Casar,es,40.6821154,-3.4153898,False,https://www.idealista.com/inmueble/87686733/,38241,False,good,False,,,821.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'El Casar', 'title': 'Casa independiente en Calle Valle Inclán'}",False,False,False,,,
375,25,86176233,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ed/24/09/685593638.jpg,343-60458205,20,,130000.0,chalet,sale,179.0,False,4,1,Calle Jaen,Toledo,El Viso de San Juan,es,40.14107,-3.92138,False,https://www.idealista.com/inmueble/86176233/,35799,False,good,False,,,726.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'El Viso de San Juan', 'title': 'Casa independiente en Calle Jaen'}",False,False,False,,,
376,26,83449304,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/f7/18/d3/647692987.jpg,203-6973109,7,4,73481.0,flat,sale,80.0,False,2,1,Calle de la Cruz de Orozco,Madrid,Morata de Tajuña,es,40.2303746,-3.4348973,False,https://www.idealista.com/inmueble/83449304/,30768,False,good,False,False,,919.0,{'typology': 'flat'},"{'subtitle': 'Morata de Tajuña', 'title': 'Piso en Calle de la Cruz de Orozco'}",False,False,False,,,
377,27,87825436,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/48/a6/2f/731817345.jpg,343-60479924,5,,136000.0,chalet,sale,213.0,False,3,2,Calle los Espejos,Guadalajara,Villanueva de la Torre,es,40.5845971,-3.3026564,False,https://www.idealista.com/inmueble/87825436/,38673,False,good,False,,,638.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Villanueva de la Torre', 'title': 'Casa independiente en Calle los Espejos'}",False,False,False,,,
378,28,84780474,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/5c/dd/647715442.jpg,203-7012900,7,1,60111.0,flat,sale,73.0,False,2,1,Calle Castillejo,Madrid,Garganta de los Montes,es,40.9223718,-3.6853394,False,https://www.idealista.com/inmueble/84780474/,56245,False,good,False,False,,823.0,{'typology': 'flat'},"{'subtitle': 'Garganta de los Montes', 'title': 'Piso en Calle Castillejo'}",False,False,False,,,
379,29,82215606,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/4b/b6/f4/647692904.jpg,203-6972460,8,,130767.0,chalet,sale,191.0,False,4,2,Avenida Tarifa,Madrid,Eurovillas,es,40.3486052,-3.2496972,False,https://www.idealista.com/inmueble/82215606/,39153,False,good,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",685.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Eurovillas', 'title': 'Casa independiente en Avenida Tarifa'}",False,False,False,,,
380,30,86157156,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/05/59/53/685185170.jpg,343-60481366,1,,150683.0,chalet,sale,249.0,False,1,1,Calle Beato Guillermo Plaza Hernandez,Toledo,Yuncos,es,40.0877453,-3.8688986,False,https://www.idealista.com/inmueble/86157156/,39184,False,good,False,,,605.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Yuncos', 'title': 'Casa independiente en Calle Beato Guillermo Plaza Hernandez'}",False,False,False,,,
381,31,86158410,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a3/f4/c5/685194049.jpg,343-60490215,2,,120000.0,chalet,sale,140.0,False,3,1,Calle Madrid,Madrid,Villa del Prado,es,40.2805976,-4.3009182,False,https://www.idealista.com/inmueble/86158410/,52858,False,good,False,,,857.0,"{'typology': 'chalet', 'subTypology': 'independantHouse'}","{'subtitle': 'Villa del Prado', 'title': 'Casa independiente en Calle Madrid'}",False,False,False,,,
382,32,88024186,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/de/54/a0/736712857.jpg,343-60488589,8,,161500.0,flat,sale,92.0,False,1,1,Calle de Urgel,Madrid,Madrid,es,40.3939944,-3.7280209,False,https://www.idealista.com/inmueble/88024186/,3282,False,good,False,False,,1755.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Calle de Urgel'}",False,False,False,Carabanchel,San Isidro,
383,33,88708378,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/6f/95/0d/753277573.jpg,EOR26396,15,1,999000.0,flat,sale,224.0,True,5,4,Fuente del Peral,Madrid,Madrid,es,40.4506901,-3.7642967,False,https://www.idealista.com/inmueble/88708378/,6401,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",4460.0,{'typology': 'flat'},"{'subtitle': 'Aravaca, Madrid', 'title': 'Piso en Fuente del Peral'}",True,False,True,Moncloa,Aravaca,
384,34,88194857,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b7/88/01/742061081.jpg,HF-1953,11,9,118440.0,flat,sale,77.0,True,3,1,La Avanzada - La Cueva,Madrid,Fuenlabrada,es,40.286029,-3.7871371,False,https://www.idealista.com/inmueble/88194857/,16174,False,good,False,True,,1538.0,{'typology': 'flat'},"{'subtitle': 'La Avanzada - La Cueva, Fuenlabrada', 'title': 'Piso'}",True,False,False,La Avanzada - La Cueva,,
385,35,81778172,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/64/d9/15/584248163.jpg,2472,30,,2000000.0,chalet,sale,470.0,False,4,5,barrio Ciudad Universitaria,Madrid,Madrid,es,40.4693922,-3.7483728,False,https://www.idealista.com/inmueble/81778172/,6993,False,good,False,,,4255.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Ciudad Universitaria, Madrid', 'title': 'Chalet adosado'}",True,False,False,Moncloa,Ciudad Universitaria,
386,36,36575228,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/3c/c0/00/200205263.jpg,2764,17,8,1160000.0,duplex,sale,183.0,True,2,3,Calle Diego de León,Madrid,Madrid,es,40.4363631,-3.6811253,False,https://www.idealista.com/inmueble/36575228/,2878,False,good,False,True,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",6339.0,"{'typology': 'flat', 'subTypology': 'duplex'}","{'subtitle': 'Castellana, Madrid', 'title': 'Dúplex en Calle Diego de León'}",True,False,False,Barrio de Salamanca,Castellana,
387,37,32905544,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/fe/35/62/138887969.jpg,SPM0120,33,,111133.0,chalet,sale,117.0,False,3,3,"Calle menorca, 24",Madrid,Villamanta,es,40.3005046,-4.1091129,True,https://www.idealista.com/inmueble/32905544/,36734,False,renew,False,,"{'hasParkingSpace': True, 'isParkingSpaceIncludedInPrice': True}",950.0,"{'typology': 'chalet', 'subTypology': 'terracedHouse'}","{'subtitle': 'Villamanta', 'title': 'Chalet adosado en Calle menorca, 24'}",False,False,False,,,
388,38,87776669,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/28/d6/ed/730652202.jpg,EU0520,35,bj,105750.0,flat,sale,59.0,False,3,1,"Calle de Higueras, 59",Madrid,Madrid,es,40.4035354,-3.745215,True,https://www.idealista.com/inmueble/87776669/,3842,False,renew,False,False,,1792.0,{'typology': 'flat'},"{'subtitle': 'Lucero, Madrid', 'title': 'Piso en Calle de Higueras, 59'}",False,False,False,Latina,Lucero,
389,39,88693452,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/29/42/a7/752875093.jpg,19p18393-s,28,3,114000.0,flat,sale,69.0,True,3,1,Calle San Moisés,Madrid,Madrid,es,40.3812133,-3.6636184,False,https://www.idealista.com/inmueble/88693452/,5179,False,good,False,False,,1652.0,{'typology': 'flat'},"{'subtitle': 'San Diego, Madrid', 'title': 'Piso en Calle San Moisés'}",False,False,False,Puente de Vallecas,San Diego,
390,40,87798149,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/67/45/60/731175236.jpg,7010M,23,2,76000.0,flat,sale,88.0,True,3,1,"DIONISIO PINILLOS, 14",Madrid,Pelayos de la Presa,es,40.35922,-4.33294,True,https://www.idealista.com/inmueble/87798149/,53710,True,good,False,False,,864.0,{'typology': 'flat'},"{'subtitle': 'Pelayos de la Presa', 'title': 'Piso en DIONISIO PINILLOS, 14'}",True,False,False,,,
391,41,86582741,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/ca/f0/24/739108415.jpg,75000027075,8,,149500.0,flat,sale,117.0,False,3,2,Calle Alicante,Guadalajara,Guadalajara,es,40.6333442,-3.1515277,False,https://www.idealista.com/inmueble/86582741/,52484,False,,False,False,,1278.0,{'typology': 'flat'},"{'subtitle': 'Los Valles-San Vazquez-El Fuerte, Guadalajara', 'title': 'Piso en Calle Alicante'}",False,False,False,Los Valles-San Vazquez-El Fuerte,,
