,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),,,Title,Type,SJR,H index,Total Docs. (2018),Total Docs. (3years),Total Refs. (2018),Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc. (2018),
74,Archaeofauna,journal,0.354 ,16,12,43,898,24,42,0.57,74.83,
75,Atencion Primaria,journal,0.352 ,34,186,392,3830,261,234,1.13,20.59,
76,Revista de Educacion,journal,0.352 ,20,19,91,911,71,90,0.66,47.95,
77,Revista española de cardiología (English ed.),journal,0.352 ,9,13,54,0,64,43,2.80,0.00,
78,Journal of Industrial Engineering and Management,journal,0.351 ,22,50,184,2323,292,180,2.11,46.46,
79,Virtual Archaeology Review,journal,0.350 ,4,16,22,489,39,22,1.77,30.56,
80,Enfermedades Infecciosas y Microbiologia Clinica,journal,0.348 ,40,245,540,4350,397,465,0.84,17.76,
81,"CIRIEC-Espana Revista de Economia Publica, Social y Cooperativa",journal,0.347 ,4,30,58,1493,41,58,0.71,49.77,
82,Revista de Teledeteccion,journal,0.347 ,5,11,74,365,55,65,0.94,33.18,
83,Emergencias,journal,0.346 ,25,117,369,1813,419,177,2.98,15.50,
84,REVESCO Revista de Estudios Cooperativos,journal,0.346 ,7,20,84,961,45,83,0.54,48.05,
85,"Cultura, Ciencia y Deporte",journal,0.345 ,8,29,73,1162,54,64,0.95,40.07,
86,RICYDE. Revista internacional de ciencias del deporte,journal,0.341 ,11,32,92,1187,77,86,0.96,37.09,
87,Nutricion Hospitalaria,journal,0.340 ,43,282,1472,6830,1265,1398,0.57,24.22,
88,Estudios Geologicos,journal,0.338 ,23,13,51,1011,42,51,0.63,77.77,
89,Historia Agraria,journal,0.336 ,14,23,51,1440,25,51,0.32,62.61,
90,Pirineos,journal,0.336 ,11,7,26,317,24,26,0.71,45.29,
91,Journal of Applied Biomedicine,journal,0.335 ,26,51,109,2617,185,108,1.68,51.31,
92,Medicina Intensiva,journal,0.334 ,24,177,370,3220,290,283,1.07,18.19,
93,Actas Urologicas Espanolas,journal,0.332 ,22,102,334,2228,266,263,1.14,21.84,
94,Comunicacion y Sociedad,journal,0.331 ,12,59,134,2954,94,123,0.63,50.07,
95,Revista de Psicopatologia y Psicologia Clinica,journal,0.329 ,12,19,60,843,56,60,1.05,44.37,
96,Transactions on Data Privacy,journal,0.329 ,19,12,28,432,45,27,1.24,36.00,
97,Digital Education Review,journal,0.326 ,9,24,76,1196,77,73,0.80,49.83,
98,Revista Espanola de Orientacion y Psicopedagia,journal,0.325 ,8,15,76,554,32,62,0.47,36.93,
99,Aula Abierta,journal,0.323 ,5,0,27,0,20,27,0.77,0.00,
100,Nefrologia,journal,0.323 ,32,153,568,3160,271,358,0.80,20.65,
101,Revista Argentina de Microbiologia,journal,0.319 ,23,90,196,2425,190,187,1.03,26.94,
102,Circulo de Linguistica Aplicada a la Comunicacion,journal,0.316 ,5,66,138,2753,37,137,0.23,41.71,
103,European Research on Management and Business Economics,journal,0.308 ,11,20,62,1266,109,61,2.00,63.30,
104,RIAI - Revista Iberoamericana de Automatica e Informatica Industrial,journal,0.308 ,13,52,151,1435,168,130,1.54,27.60,
105,"Endocrinologia, Diabetes y Nutricion",journal,0.304 ,20,113,320,2758,250,279,0.83,24.41,
106,Anales del Jardin Botanico de Madrid,journal,0.301 ,13,6,52,199,31,52,0.45,33.17,
107,Acta Otorrinolaringologica Espanola,journal,0.300 ,21,107,244,1426,139,229,0.67,13.33,
108,Retos,journal,0.299 ,6,133,152,5733,166,152,1.09,43.11,
109,Actas Dermo-Sifiliograficas,journal,0.291 ,33,343,1214,4097,611,1006,0.50,11.94,
110,Revista de Estudios Politicos,journal,0.290 ,7,39,113,1827,32,111,0.21,46.85,
111,Animal Biodiversity and Conservation,journal,0.288 ,32,32,74,1704,61,74,0.90,53.25,
112,Limnetica,journal,0.288 ,28,4,83,201,68,83,0.63,50.25,
113,SPAL,journal,0.288 ,3,23,36,1838,14,35,0.40,79.91,
114,Psicologia Conductual,journal,0.285 ,19,28,83,1539,74,83,0.74,54.96,
115,Revista Espanola de Cirugia Ortopedica y Traumatologia,journal,0.283 ,11,73,181,1532,106,172,0.59,20.99,
116,Porta Linguarum,journal,0.282 ,9,34,104,1260,60,96,0.58,37.06,
117,Revista española de sanidad penitenciaria,journal,0.281 ,7,0,34,0,19,24,0.75,0.00,
118,Spanish Journal of Paleontology,journal,0.281 ,6,0,37,0,30,37,0.56,0.00,
119,Applied General Topology,journal,0.280 ,9,24,70,402,35,70,0.45,16.75,
120,Lazaroa,journal,0.278 ,14,0,29,0,25,29,1.00,0.00,
121,OBETS,journal,0.277 ,6,25,63,1129,41,62,0.56,45.16,
122,Masculinities and Social Change,journal,0.272 ,7,12,38,598,34,36,0.63,49.83,
123,International Geoscience and Remote Sensing Symposium (IGARSS),conference and proceedings,0.271,58,1210,4837,12613,2572,4825,0.51,10.42,
124,Archivos de Zootecnia,journal,0.270 ,13,115,243,2658,107,230,0.42,23.11,
125,Cuaternario y Geomorfologia,journal,0.270 ,7,7,45,281,27,36,0.67,40.14,
126,International Journal of Psychology and Psychological Therapy,journal,0.270 ,28,16,70,857,77,70,0.91,53.56,
127,Papeles del Psicologo,journal,0.266 ,17,26,83,1107,63,76,0.92,42.58,
128,Revista de Metalurgia,journal,0.265 ,16,25,79,688,46,76,0.54,27.52,
129,Farmacia Hospitalaria,journal,0.264 ,21,58,221,983,136,169,0.73,16.95,
130,Cuadernos Geograficos,book series,0.262 ,9,48,118,2372,48,103,0.42,49.42,
131,Enfermedades Infecciosas y Microbiologia Clinica Monografias,journal,0.260 ,5,0,32,0,22,22,0.00,0.00,
